"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"DigiTV News";"DigiTV News";"Apps (Smartphone)";" 31/31";2.795;5.388;5.168;96 %;220;
"domradio.de";"domradio.de";"gesamt";" 31/31";631.044;900.050;799.704;89 %;100.346;
"domradio.de";"domradio.de";"Online (http://www.domradio.de)";" 31/31";178.454;272.187;233.545;86 %;38.642;
"domradio.de";"domradio.de";"MEW (http://www.domradio.de)";" 31/31";452.590;627.863;566.159;90 %;61.704;
"donaukurier.de";"donaukurier.de";"gesamt";" 31/31";4.196.531;8.194.612;8.049.192;98 %;145.420;
"donaukurier.de";"donaukurier.de";"Online (http://www.donaukurier.de)";" 31/31";684.044;1.758.155;1.703.031;97 %;55.124;
"donaukurier.de";"DK mobil";"Apps (gesamt)";" 31/31";439.781;1.058.437;1.049.009;99 %;9.428;
"donaukurier.de";"DK mobil";"Apps (Smartphone)";" 31/31";439.781;1.058.437;1.049.009;99 %;9.428;
"donaukurier.de";"donaukurier.de mobil";"MEW (http://www.donaukurier,de)";" 31/31";3.072.706;5.378.020;5.297.152;98 %;80.868;
"DStGB";"DStGB";"gesamt";" 31/31";2.943;4.677;4.416;94 %;261;
"DStGB";"DStGB";"Online (http://www.dstgb.de)";" 31/31";2.943;4.677;4.416;94 %;261;
"Dülmener Zeitung";"Dülmener Zeitung";"gesamt";" 31/31";210.722;494.334;480.425;97 %;13.909;
"Dülmener Zeitung";"Dülmener Zeitung";"Online (http://dzonline.de)";" 31/31";70.993;188.882;178.827;95 %;10.055;
"Dülmener Zeitung";"DZ mobil";"MEW (http://www.dzonline.de)";" 31/31";139.729;305.452;301.598;99 %;3.854;
"DuMont Newsnet";"DuMont Newsnet";"gesamt";" 31/31";53.921.216;115.312.899;111.560.482;97 %;3.752.417;
"DuMont Newsnet";"DuMont Newsnet";"Online (http://www.dumont-newsnet.de)";" 31/31";15.005.479;36.746.120;35.036.832;95 %;1.709.288;
"DuMont Newsnet";"DuMont Newsnet Mobil";"MEW (http://www.dumont-newsnet.de)";" 31/31";38.915.737;78.566.779;76.523.650;97 %;2.043.129;
"EAT SMARTER";"EAT SMARTER";"gesamt";" 31/31";19;22;19;86 %;3;
"EAT SMARTER";"EAT SMARTER";"Online (http://eatsmarter.de)";" 31/31";19;22;19;86 %;3;
"echo24.de";"echo24.de";"gesamt";" 31/31";1.081.074;1.509.715;1.452.906;96 %;56.809;
"echo24.de";"echo24.de";"Online (http://www.echo24.de)";" 31/31";219.548;342.859;327.802;96 %;15.057;
"echo24.de";"echo24.de Mobile";"MEW (http://www.echo24.de)";" 31/31";861.526;1.166.856;1.125.104;96 %;41.752;
"Eisprung App Eltern";"Eisprung App Eltern";"gesamt";" 31/31";25;28;28;100 %;---;
"Eisprung App Eltern";"Eisprung App Eltern";"Apps (gesamt)";" 31/31";9;12;12;100 %;---;
"Eisprung App Eltern";"Eisprung App Eltern";"Apps (Smartphone)";" 31/31";9;12;12;100 %;---;
"Eisprung App Eltern";"Eltern.de";"Apps (gesamt)";" 31/31";15;15;15;100 %;---;
"Eisprung App Eltern";"Eltern.de";"Apps (Smartphone)";" 31/31";15;15;15;100 %;---;
"Eisprung App Eltern";"Eltern.de Schwanger Baby App";"Apps (gesamt)";" 31/31";1;1;1;100 %;---;
"Eisprung App Eltern";"Eltern.de Schwanger Baby App";"Apps (Smartphone)";" 31/31";1;1;1;100 %;---;
"Esquire";"Esquire";"gesamt";" 31/31";21.618;24.385;19.855;81 %;4.530;
"Esquire";"Esquire";"Online (http://www.esquire.de)";" 31/31";7.298;8.180;6.752;83 %;1.428;
"Esquire";"Esquire mobil";"MEW (http://www.esquire.de)";" 31/31";14.320;16.205;13.103;81 %;3.102;
"etailment";"etailment";"gesamt";" 31/31";503;704;545;77 %;159;
"etailment";"etailment";"Online (http://etailment.de)";" 31/31";189;227;185;81 %;42;
"etailment";"etailment.de mobile";"MEW (http://etailment.de)";" 31/31";314;477;360;75 %;117;
"evangelisch.de";"evangelisch.de";"gesamt";" 31/31";68.490;78.504;70.155;89 %;8.349;
"evangelisch.de";"evangelisch.de";"Online (http://www.evangelisch.de)";" 31/31";68.490;78.504;70.155;89 %;8.349;
"Eßlinger Zeitung online";"Eßlinger Zeitung online";"gesamt";" 31/31";1.565.601;3.358.429;3.273.743;97 %;84.686;
"Eßlinger Zeitung online";"Eßlinger Zeitung online";"Online (http://www.esslinger-zeitung.de)";" 31/31";1.565.601;3.358.429;3.273.743;97 %;84.686;
"fachmedien & mittelstand digital";"fachmedien & mittelstand digital";"gesamt";" 31/31";19.340;24.525;23.421;95 %;1.104;
"fachmedien & mittelstand digital";"fachmedien & mittelstand digital";"Online (http://www.fum-digital.de/)";" 31/31";19.340;24.525;23.421;95 %;1.104;
"FAZ.NET";"FAZ.NET";"gesamt";" 31/31";87.859.134;184.055.569;164.863.543;90 %;19.192.026;
"FAZ.NET";"FAZ.NET";"Online (http://www.faz.net)";" 31/31";20.451.250;45.773.142;39.428.253;86 %;6.344.889;
"FAZ.NET";"F.A.Z. Der Tag App";"Apps (gesamt)";" 31/31";1.432.657;6.430.859;5.937.122;92 %;493.737;
"FAZ.NET";"F.A.Z. Der Tag App";"Apps (Smartphone)";" 31/31";1.432.657;6.430.859;5.937.122;92 %;493.737;
"FAZ.NET";"F.A.Z. Kiosk App";"Apps (gesamt)";" 31/31";1.505.162;24.745.977;22.686.876;92 %;2.059.101;
"FAZ.NET";"F.A.Z. Kiosk App";"Apps (Smartphone)";" 31/31";1.505.162;24.745.977;22.686.876;92 %;2.059.101;
"FAZ.NET";"FAZ.NET App";"Apps (gesamt)";" 31/31";8.168.594;31.087.261;27.856.532;90 %;3.230.729;
"FAZ.NET";"FAZ.NET App";"Apps (Smartphone)";" 31/31";8.168.594;31.087.261;27.856.532;90 %;3.230.729;
"FAZ.NET";"FAZ.NET Mobil";"MEW (http://m.faz.net)";" 31/31";56.301.471;76.018.330;68.954.760;91 %;7.063.570;
"Feierabend.de";"Feierabend.de";"gesamt";" 31/31";4;5;5;100 %;---;
"Feierabend.de";"Feierabend.de";"Online (http://www.feierabend.de)";" 31/31";3;4;4;100 %;---;
"Feierabend.de";"Feierabend.de mobil";"MEW (http://www.feierabend.de)";" 31/31";1;1;1;100 %;---;
"finanztreff Mobil";"finanztreff Mobil";"gesamt";" 31/31";12.084;16.685;14.933;89 %;1.752;
"finanztreff Mobil";"finanztreff Mobil";"MEW (https://m.finanztreff.de)";" 31/31";12.084;16.685;14.933;89 %;1.752;
"FIT FOR FUN.de";"FIT FOR FUN.de";"gesamt";" 31/31";1.221.469;1.628.886;1.351.127;83 %;277.759;
"FIT FOR FUN.de";"FIT FOR FUN.de";"Online (http://www.fitforfun.de)";" 31/31";53.403;64.765;52.369;81 %;12.396;
"FIT FOR FUN.de";"FIT FOR FUN";"MEW (http://m.fitforfun.de)";" 31/31";1.168.066;1.564.121;1.298.758;83 %;265.363;
"Fleischwirtschaft.de";"Fleischwirtschaft.de";"gesamt";" 31/31";149;396;369;93 %;27;
"Fleischwirtschaft.de";"Fleischwirtschaft.de";"Online (http://www.fleischwirtschaft.de)";" 31/31";94;105;97;92 %;8;
"Fleischwirtschaft.de";"Fleischwirtschaft.de mobil";"MEW (https://mobil.fleischwirtschaft.de)";" 31/31";55;291;272;93 %;19;
"FNweb";"FNweb";"gesamt";" 31/31";350.536;597.822;575.180;96 %;22.642;
"FNweb";"FNweb";"Online (http://www.fnweb.de)";" 31/31";113.165;256.992;239.772;93 %;17.220;
"FNweb";"fnweb mobile";"MEW (http://m.fnweb.de)";" 31/31";237.371;340.830;335.408;98 %;5.422;
"FOCUS ONLINE";"FOCUS ONLINE";"gesamt";" 31/31";135.487.259;350.741.638;331.403.576;94 %;19.338.062;
"FOCUS ONLINE";"FOCUS ONLINE";"Online (http://www.focus.de)";" 31/31";24.003.551;48.314.970;44.250.848;92 %;4.064.122;
"FOCUS ONLINE";"FOCUS Online App";"Apps (gesamt)";" 31/31";63.355.937;227.298.801;216.856.665;95 %;10.442.136;
"FOCUS ONLINE";"FOCUS Online App";"Apps (Smartphone)";" 31/31";57.055.574;199.975.221;191.243.918;96 %;8.731.303;
"FOCUS ONLINE";"FOCUS Online App";"Apps (Tablet)";" 31/31";6.300.363;27.323.580;25.612.747;94 %;1.710.833;
"FOCUS ONLINE";"FOCUS Online Topnachrichten App";"Apps (gesamt)";" 31/31";397.501;1.093.820;1.038.863;95 %;54.957;
"FOCUS ONLINE";"FOCUS Online Topnachrichten App";"Apps (Smartphone)";" 31/31";397.501;1.093.820;1.038.863;95 %;54.957;
"FOCUS ONLINE";"FOCUS Online mobil";"MEW (https://m.focus.de)";" 31/31";47.724.695;74.016.583;69.244.998;94 %;4.771.585;
"FOCUS ONLINE";"FOCUS Online Android TV App";"Connected TV";" /31";5.575;17.464;12.202;70 %;5.262;
"food-service.de";"food-service.de";"gesamt";" 31/31";53.221;112.558;92.149;82 %;20.409;
"food-service.de";"food-service.de";"Online (https://www.food-service.de)";" 31/31";30.022;71.930;58.772;82 %;13.158;
"food-service.de";"food-service.de mobil";"MEW (https://www.food-service.de/)";" 31/31";23.199;40.628;33.377;82 %;7.251;
"Frankenpost online";"Frankenpost online";"gesamt";" 31/31";2.696.415;7.530.677;7.397.161;98 %;133.516;
"Frankenpost online";"Frankenpost online";"Online (http://www.frankenpost.de)";" 31/31";2.449.960;4.941.100;4.833.816;98 %;107.284;
"Frankenpost online";"Frankenpost";"Apps (gesamt)";" 31/31";246.455;2.589.577;2.563.345;99 %;26.232;
"Frankenpost online";"Frankenpost";"Apps (Smartphone)";" 31/31";246.455;2.589.577;2.563.345;99 %;26.232;
"Frankfurter Neue Presse";"Frankfurter Neue Presse";"gesamt";" 31/31";5.921.152;8.105.541;7.787.425;96 %;318.116;
"Frankfurter Neue Presse";"Frankfurter Neue Presse";"Online (http://www.fnp.de)";" 31/31";1.194.938;2.003.706;1.888.629;94 %;115.077;
"Frankfurter Neue Presse";"Frankfurter Neue Presse Mobil";"MEW (http://m.fnp.de)";" 31/31";4.726.214;6.101.835;5.898.796;97 %;203.039;
"Frankfurter Rundschau online";"Frankfurter Rundschau online";"gesamt";" 31/31";14.497.022;19.973.997;18.852.102;94 %;1.121.895;
"Frankfurter Rundschau online";"Frankfurter Rundschau online";"Online (http://www.fr-online.de)";" 31/31";2.861.116;4.892.830;4.474.840;91 %;417.990;
"Frankfurter Rundschau online";"Frankfurter Rundschau mobil";"MEW (http://mobil.fr-online.de)";" 31/31";11.635.906;15.081.167;14.377.262;95 %;703.905;
"freenet.de";"freenet.de";"gesamt";" 31/31";2.799.566;5.901.157;5.715.417;97 %;185.740;
"freenet.de";"freenet.de";"Online (http://www.freenet.de)";" 31/31";410.989;889.388;852.512;96 %;36.876;
"freenet.de";"freenet.de mobil";"MEW (http://www.freenet.de)";" 31/31";2.388.577;5.011.769;4.862.905;97 %;148.864;
"Freie Presse Online";"Freie Presse Online";"gesamt";" 31/31";7.178.576;18.378.897;18.011.927;98 %;366.970;
"Freie Presse Online";"Freie Presse Online";"Online (http://www.freiepresse.de)";" 31/31";1.430.444;6.992.804;6.818.085;98 %;174.719;
"Freie Presse Online";"Freie Presse Mobil";"MEW (http://m.freiepresse.de)";" 31/31";5.748.132;11.386.093;11.193.842;98 %;192.251;
"Freies Wort-Online";"Freies Wort-Online";"gesamt";" 31/31";1.707.792;5.401.090;5.327.562;99 %;73.528;
"Freies Wort-Online";"Freies Wort-Online";"Online (http://insuedthueringen.de)";" 31/31";1.558.496;3.549.961;3.496.073;98 %;53.888;
"Freies Wort-Online";"inSüdthüringen.de App";"Apps (gesamt)";" 31/31";149.296;1.851.129;1.831.489;99 %;19.640;
"Freies Wort-Online";"inSüdthüringen.de App";"Apps (Smartphone)";" 31/31";149.296;1.851.129;1.831.489;99 %;19.640;
"Für Sie";"Für Sie";"gesamt";" 31/31";334;528;422;80 %;106;
"Für Sie";"Für Sie";"Online (http://www.fuersie.de)";" 31/31";314;504;405;80 %;99;
"Für Sie";"Für Sie Mobil";"MEW (http://m.fuersie.de)";" 31/31";20;24;17;71 %;7;
"Fuldaer Zeitung";"Fuldaer Zeitung";"gesamt";" 31/31";1.383.505;1.842.067;1.740.329;94 %;101.738;
"Fuldaer Zeitung";"Fuldaer Zeitung";"Online (http://www.fuldaerzeitung.de)";" 31/31";366.717;561.635;528.904;94 %;32.731;
"Fuldaer Zeitung";"Fuldaer Zeitung mobil";"MEW (https://www.fuldaerzeitung.de/)";" 31/31";1.016.788;1.280.432;1.211.425;95 %;69.007;
"FUNKE MEDIEN NRW";"FUNKE MEDIEN NRW";"gesamt";" 31/31";67.777.100;97.629.042;93.153.071;95 %;4.475.971;
"FUNKE MEDIEN NRW";"FUNKE MEDIEN NRW";"Online (http://www.funkemediennrw.de)";" 31/31";7.159.973;14.432.608;13.693.218;95 %;739.390;
"FUNKE MEDIEN NRW";"FUNKE MEDIEN NRW mobil";"MEW (http://funkemediennrw.de)";" 31/31";60.617.127;83.196.434;79.459.853;96 %;3.736.581;
"Gäubote - Die Herrenberger Zeitung";"Gäubote - Die Herrenberger Zeitung";"gesamt";" 31/31";180.220;427.856;417.004;97 %;10.852;
"Gäubote - Die Herrenberger Zeitung";"Gäubote - Die Herrenberger Zeitung";"Online (http://www.gaeubote.de)";" 31/31";180.220;427.856;417.004;97 %;10.852;
"Gamesworld.de";"Gamesworld.de";"gesamt";" 31/31";164;189;158;84 %;31;
"Gamesworld.de";"Gamesworld.de";"Online (http://www.gamesworld.de/)";" 31/31";99;105;85;81 %;20;
"Gamesworld.de";"Gamesworld.de";"MEW (http://www.gamesworld.de/)";" 31/31";65;84;73;87 %;11;
"GCM Go City Media";"GCM Go City Media";"gesamt";" 31/31";3.195;3.567;2.427;68 %;1.140;
"GCM Go City Media";"GCM Go City Media";"Online (http://www.gcmberlin.de)";" 31/31";3.195;3.567;2.427;68 %;1.140;
"GEA online";"GEA online";"gesamt";" 31/31";1.433.648;2.716.927;2.590.011;95 %;126.916;
"GEA online";"GEA online";"Online (http://www.gea.de)";" 31/31";1.433.648;2.716.927;2.590.011;95 %;126.916;
"General-Anzeiger-Rhauderfehn";"General-Anzeiger-Rhauderfehn";"gesamt";" 31/31";341.496;644.634;631.583;98 %;13.051;
"General-Anzeiger-Rhauderfehn";"General-Anzeiger-Rhauderfehn";"Online (http://www.ga-online.de)";" 31/31";341.496;644.634;631.583;98 %;13.051;
"Gießener Allgemeine";"Gießener Allgemeine";"gesamt";" 31/31";2.980.731;4.393.397;4.268.172;97 %;125.225;
"Gießener Allgemeine";"Gießener Allgemeine";"Online (http://www.giessener-allgemeine.de)";" 31/31";526.052;1.037.801;986.590;95 %;51.211;
"Gießener Allgemeine";"Gießener Allgemeine mobil";"MEW (https://www.giessener-allgemeine.de)";" 31/31";2.454.679;3.355.596;3.281.582;98 %;74.014;
"Gmünder Tagespost";"Gmünder Tagespost";"gesamt";" 31/31";551.334;1.264.700;1.241.180;98 %;23.520;
"Gmünder Tagespost";"Gmünder Tagespost";"Online (http://www.gmuender-tagespost.de)";" 31/31";551.334;1.264.700;1.241.180;98 %;23.520;
"GMX";"GMX";"gesamt";" 31/31";101.219.173;239.832.537;234.061.355;98 %;5.771.182;
"GMX";"GMX";"Online (http://www.gmx.net)";" 31/31";63.576.147;155.154.047;151.088.373;97 %;4.065.674;
"GMX";"GMX";"Apps (gesamt)";" 31/31";4.856.730;11.714.067;11.453.116;98 %;260.951;
"GMX";"GMX";"Apps (Smartphone)";" 31/31";4.856.730;11.714.067;11.453.116;98 %;260.951;
"GMX";"GMX";"MEW (http://gmx.net)";" 31/31";32.786.296;72.964.423;71.519.866;98 %;1.444.557;
"goodnews4.de Online-Tageszeitung";"goodnews4.de Online-Tageszeitung";"gesamt";" 31/31";152.740;242.485;232.845;96 %;9.640;
"goodnews4.de Online-Tageszeitung";"goodnews4.de Online-Tageszeitung";"Online (http://www.goodnews4.de/)";" 31/31";152.740;242.485;232.845;96 %;9.640;
"goslarsche.de";"goslarsche.de";"gesamt";" 31/31";353.963;641.549;624.642;97 %;16.907;
"goslarsche.de";"goslarsche.de";"Online (http://goslarsche.de)";" 31/31";353.963;641.549;624.642;97 %;16.907;
"GRAZIA Mobil";"GRAZIA Mobil";"gesamt";" 31/31";1.668;2.369;1.978;83 %;391;
"GRAZIA Mobil";"GRAZIA Mobil";"MEW (http://www.grazia-magazin.de)";" 31/31";1.668;2.369;1.978;83 %;391;
"Haller Kreisblatt";"Haller Kreisblatt";"gesamt";" 31/31";468.976;859.057;831.005;97 %;28.052;
"Haller Kreisblatt";"Haller Kreisblatt";"Online (http://www.haller-kreisblatt.de)";" 31/31";96.393;219.240;209.318;95 %;9.922;
"Haller Kreisblatt";"Haller Kreisblatt mobil";"MEW (http://www.haller-kreisblatt.de)";" 31/31";372.583;639.817;621.687;97 %;18.130;
"hamburg.de";"hamburg.de";"gesamt";" 31/31";222.696;304.670;295.789;97 %;8.881;
"hamburg.de";"hamburg.de";"Online (http://www.hamburg.de)";" 31/31";59.878;87.195;83.838;96 %;3.357;
"hamburg.de";"hamburg.de Mobil";"MEW (http://www.hamburg.de)";" 31/31";162.818;217.475;211.951;97 %;5.524;
"Hamburger Abendblatt Online";"Hamburger Abendblatt Online";"gesamt";" 31/31";5.884.356;12.016.002;11.437.644;95 %;578.358;
"Hamburger Abendblatt Online";"Hamburger Abendblatt Online";"Online (http://www.abendblatt.de)";" 31/31";2.495.920;4.600.941;4.256.345;93 %;344.596;
"Hamburger Abendblatt Online";"Hamburger Abendblatt News";"Apps (gesamt)";" 31/31";710.304;3.799.624;3.709.699;98 %;89.925;
"Hamburger Abendblatt Online";"Hamburger Abendblatt News";"Apps (Smartphone)";" 31/31";710.304;3.799.624;3.709.699;98 %;89.925;
"Hamburger Abendblatt Online";"Abendblatt Mobil";"MEW (http://mobil.abendblatt.de)";" 31/31";2.678.132;3.615.437;3.471.600;96 %;143.837;
"Handelsblatt.com";"Handelsblatt.com";"gesamt";" 31/31";10.494.822;19.206.860;16.551.777;86 %;2.655.083;
"Handelsblatt.com";"Handelsblatt.com";"Online (http://www.handelsblatt.com)";" 31/31";6.227.597;11.228.071;9.475.934;84 %;1.752.137;
"Handelsblatt.com";"Handelsblatt mobil";"MEW (http://app.handelsblatt.com)";" 31/31";4.267.225;7.978.789;7.075.843;89 %;902.946;
"Hannover";"Hannover";"gesamt";" 31/31";292.671;465.055;454.042;98 %;11.013;
"Hannover";"Hannover";"Online (http://hannover.de)";" 31/31";26.796;47.564;45.590;96 %;1.974;
"Hannover";"Hannover mobil";"MEW (http://www.hannover.de)";" 31/31";265.875;417.491;408.452;98 %;9.039;
"harmony.fm";"harmony.fm";"gesamt";" 31/31";20.103;51.328;48.921;95 %;2.407;
"harmony.fm";"harmony.fm";"Online (https://www.harmonyfm.de)";" 31/31";5.578;13.647;13.296;97 %;351;
"harmony.fm";"harmony.fm App";"Apps (gesamt)";" 31/31";5.086;21.149;20.163;95 %;986;
"harmony.fm";"harmony.fm App";"Apps (Smartphone)";" 31/31";5.086;21.149;20.163;95 %;986;
"harmony.fm";"harmony.fm mobil";"MEW (https://www.harmonyfm.de)";" 31/31";9.439;16.532;15.462;94 %;1.070;
"Hausarzt.Digital";"Hausarzt.Digital";"gesamt";" 31/31";45.805;54.970;51.336;93 %;3.634;
"Hausarzt.Digital";"Hausarzt.Digital";"Online (http://www.hausarzt.digital/)";" 31/31";45.805;54.970;51.336;93 %;3.634;
"Heidelberg24";"Heidelberg24";"gesamt";" 31/31";3.069.582;3.926.756;3.836.677;98 %;90.079;
"Heidelberg24";"Heidelberg24";"Online (http://www.heidelberg24.de)";" 31/31";400.343;634.886;611.620;96 %;23.266;
"Heidelberg24";"Heidelberg24 mobile";"MEW (http://www.heidelberg24.de)";" 31/31";2.669.239;3.291.870;3.225.057;98 %;66.813;
"Heilbronner Stimme online";"Heilbronner Stimme online";"gesamt";" 31/31";2.599.341;4.236.299;4.133.904;98 %;102.395;
"Heilbronner Stimme online";"Heilbronner Stimme online";"Online (http://www.stimme.de)";" 31/31";553.816;1.052.558;1.008.192;96 %;44.366;
"Heilbronner Stimme online";"Heilbronner Stimme mobil";"MEW (http://www.stimme.de)";" 31/31";2.045.525;3.183.741;3.125.712;98 %;58.029;
"heise online";"heise online";"gesamt";" 31/31";25.135;164.543;141.608;86 %;22.935;
"heise online";"heise online";"Online (http://www.heise.de)";" 31/31";2.735;4.293;3.694;86 %;599;
"heise online";"heise online";"Apps (gesamt)";" 31/31";19.922;156.223;134.412;86 %;21.811;
"heise online";"heise online";"Apps (Smartphone)";" 31/31";19.922;156.223;134.412;86 %;21.811;
"heise online";"heise online mobil";"MEW (http://m.heise.de)";" 31/31";2.478;4.027;3.502;87 %;525;
"Hellweg Radio";"Hellweg Radio";"gesamt";" 31/31";90.362;134.688;132.820;99 %;1.868;
"Hellweg Radio";"Hellweg Radio";"Online (http://www.hellwegradio.de)";" 31/31";90.362;134.688;132.820;99 %;1.868;
"Hersfelder Zeitung Online";"Hersfelder Zeitung Online";"gesamt";" 31/31";412.442;736.673;719.353;98 %;17.320;
"Hersfelder Zeitung Online";"Hersfelder Zeitung Online";"Online (http://www.hersfelder-zeitung.de)";" 31/31";140.752;240.776;233.186;97 %;7.590;
"Hersfelder Zeitung Online";"Hersfelder Zeitung Online mobile";"MEW (http://www.hersfelder-zeitung.de/)";" 31/31";271.690;495.897;486.167;98 %;9.730;
"HIGHLIGHT Web";"HIGHLIGHT Web";"gesamt";" 31/31";16.889;24.887;20.494;82 %;4.393;
"HIGHLIGHT Web";"HIGHLIGHT Web";"Online (http://www.highlight-web.de/)";" 31/31";16.889;24.887;20.494;82 %;4.393;
"Hildesheimer Allgemeine Zeitung";"Hildesheimer Allgemeine Zeitung";"gesamt";" 31/31";2.083.982;4.634.690;4.552.164;98 %;82.526;
"Hildesheimer Allgemeine Zeitung";"Hildesheimer Allgemeine Zeitung";"Online (http://www.hildesheimer-allgemeine.de)";" 31/31";2.083.982;4.634.690;4.552.164;98 %;82.526;
"HIT RADIO FFH";"HIT RADIO FFH";"gesamt";" 31/31";2.635.227;5.894.754;5.815.170;99 %;79.584;
"HIT RADIO FFH";"HIT RADIO FFH";"Online (https://www.ffh.de)";" 31/31";243.520;662.780;646.989;98 %;15.791;
"HIT RADIO FFH";"HIT RADIO FFH App";"Apps (gesamt)";" 31/31";1.456.383;3.498.152;3.464.517;99 %;33.635;
"HIT RADIO FFH";"HIT RADIO FFH App";"Apps (Smartphone)";" 31/31";1.456.383;3.498.152;3.464.517;99 %;33.635;
"HIT RADIO FFH";"HIT RADIO FFH Mobile";"MEW (https://www.ffh.de)";" 31/31";935.324;1.733.822;1.703.664;98 %;30.158;
"HNA online";"HNA online";"gesamt";" 31/31";10.688.363;23.249.974;22.717.220;98 %;532.754;
"HNA online";"HNA online";"Online (http://www.hna.de)";" 31/31";2.656.594;7.601.798;7.305.558;96 %;296.240;
"HNA online";"HNA online mobile";"MEW (http://www.hna.de/)";" 31/31";8.031.769;15.648.176;15.411.662;98 %;236.514;
"HOGAPAGE";"HOGAPAGE";"gesamt";" 31/31";60.564;67.732;60.425;89 %;7.307;
"HOGAPAGE";"HOGAPAGE";"Online (http://www.hogapage.de)";" 31/31";60.564;67.732;60.425;89 %;7.307;
"HORIZONT.NET";"HORIZONT.NET";"gesamt";" 31/31";24.587;33.964;26.919;79 %;7.045;
"HORIZONT.NET";"HORIZONT.NET";"Online (http://www.horizont.net)";" 31/31";24.346;33.638;26.630;79 %;7.008;
"HORIZONT.NET";"HORIZONT App";"Apps (gesamt)";" 31/31";94;115;103;90 %;12;
"HORIZONT.NET";"HORIZONT App";"Apps (Smartphone)";" 31/31";94;115;103;90 %;12;
"HORIZONT.NET";"HORIZONT.NET Mobil";"MEW (http://mobil.horizont.net)";" 31/31";147;211;186;88 %;25;
"Hürriyet.de";"Hürriyet.de";"gesamt";" 31/31";343.267;512.145;411.033;80 %;101.112;
"Hürriyet.de";"Hürriyet.de";"Online (http://www.hurriyet.de)";" 31/31";47.409;88.871;66.680;75 %;22.191;
"Hürriyet.de";"Hürriyet.de mobil";"MEW (https://www.hurriyet.de)";" 31/31";295.858;423.274;344.353;81 %;78.921;
"Idowa Online";"Idowa Online";"gesamt";" 31/31";4.344.077;10.230.322;9.994.794;98 %;235.528;
"Idowa Online";"Idowa Online";"Online (http://www.idowa.de)";" 31/31";1.068.982;3.767.812;3.656.829;97 %;110.983;
"Idowa Online";"Idowa Mobil";"MEW (http://mobil.idowa.de/)";" 31/31";3.275.095;6.462.510;6.337.965;98 %;124.545;
"Immobilien Zeitung";"Immobilien Zeitung";"gesamt";" 31/31";209;251;236;94 %;15;
"Immobilien Zeitung";"Immobilien Zeitung";"Online (http://www.immobilien-zeitung.de)";" 31/31";209;251;236;94 %;15;
"inFranken.de (Mediengruppe Oberfranken)";"inFranken.de (Mediengruppe Oberfranken)";"gesamt";" 31/31";13.831.360;26.307.710;25.793.500;98 %;514.210;
"inFranken.de (Mediengruppe Oberfranken)";"inFranken.de (Mediengruppe Oberfranken)";"Online (http://www.infranken.de)";" 31/31";1.536.319;3.537.143;3.412.737;96 %;124.406;
"inFranken.de (Mediengruppe Oberfranken)";"inFranken-News";"Apps (gesamt)";" 31/31";2.853.835;9.292.531;9.236.311;99 %;56.220;
"inFranken.de (Mediengruppe Oberfranken)";"inFranken-News";"Apps (Smartphone)";" 31/31";2.853.835;9.292.531;9.236.311;99 %;56.220;
"inFranken.de (Mediengruppe Oberfranken)";"inFranken Mobil";"MEW (http://www.infranken.de)";" 31/31";9.441.206;13.478.036;13.144.452;98 %;333.584;
"ingenieur.de";"ingenieur.de";"gesamt";" 31/31";18.561;30.150;27.199;90 %;2.951;
"ingenieur.de";"ingenieur.de";"Online (http://www.ingenieur.de)";" 31/31";13.729;24.654;22.479;91 %;2.175;
"ingenieur.de";"ingenieur.de mobile";"MEW (http://ingenieur.de)";" 31/31";4.832;5.496;4.720;86 %;776;
"ivz-aktuell";"ivz-aktuell";"gesamt";" 31/31";165.236;375.662;371.922;99 %;3.740;
"ivz-aktuell";"ivz-aktuell";"Online (http://www.ivz-aktuell.de)";" 31/31";165.236;375.662;371.922;99 %;3.740;
"Joyn.de";"Joyn.de";"gesamt";" 31/31";417.672;531.124;529.842;100 %;1.282;
"Joyn.de";"Joyn.de";"Online (http://joyn.de)";" 31/31";96.042;113.666;113.162;100 %;504;
"Joyn.de";"Joyn App";"Apps (gesamt)";" 31/31";321.630;417.458;416.680;100 %;778;
